timestap,can_msg.data,can_msg.dlc,can_msg.id,error_mask,error_messages,header.frame_id,header.stamp.nanosec,header.stamp.sec,reset_required
1740861275234862808,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,233960825,1740861275,False
1740861276236282351,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,235574422,1740861276,False
1740861277245873293,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,245064529,1740861277,False
1740861278245757128,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,245025743,1740861278,False
1740861279243229629,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,242609032,1740861279,False
1740861280253757890,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,252899813,1740861280,False
1740861281253683430,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,253039536,1740861281,False
1740861282255853253,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,255089642,1740861282,False
1740861283265611190,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,264964032,1740861283,False
1740861284267307358,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,266551844,1740861284,False
1740861285266788680,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,266148049,1740861285,False
1740861286268379495,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,267661934,1740861286,False
1740861287271126491,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,270468676,1740861287,False
1740861288280081938,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,279365369,1740861288,False
1740861289281147367,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,280141445,1740861289,False
