timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324970130560578,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,130362528,1763324970
1763324970223511395,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,223166912,1763324970
1763324970328134037,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,327406190,1763324970
1763324970451120024,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,450741172,1763324970
1763324970523651828,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,522905517,1763324970
1763324970625823918,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,625442154,1763324970
1763324970728520365,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,728223370,1763324970
1763324970831862611,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,831312845,1763324970
1763324970934006604,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,933744618,1763324970
1763324971027375378,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,26626698,1763324971
1763324971133646932,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,131513631,1763324971
1763324971232640560,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,232219436,1763324971
1763324971335102830,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,334571976,1763324971
1763324971460822444,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,459926467,1763324971
1763324971533003685,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,532061692,1763324971
1763324971636981169,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,634984094,1763324971
1763324971737281914,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,736494834,1763324971
1763324971833124120,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,832611187,1763324971
1763324971934129191,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,933496481,1763324971
1763324972037113034,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,36331394,1763324972
1763324972132195937,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,130616242,1763324972
1763324972236177166,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,234218843,1763324972
1763324972340265596,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,339768311,1763324972
1763324972461532592,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,461264301,1763324972
1763324972536013248,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,534969590,1763324972
1763324972639123716,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,637930905,1763324972
1763324972730607673,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,730059795,1763324972
1763324972837105502,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,836366007,1763324972
1763324972940102209,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,939763710,1763324972
1763324973034720436,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,33952301,1763324973
1763324973138586017,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,137401781,1763324973
1763324973240883710,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,240173559,1763324973
1763324973332822231,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,332467732,1763324973
1763324973458901499,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,458401750,1763324973
1763324973542065631,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,541701660,1763324973
1763324973636506673,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,635266501,1763324973
1763324973740982083,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,738532012,1763324973
1763324973846948868,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,844278474,1763324973
1763324973941637272,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,940283307,1763324973
1763324974045659431,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,44181880,1763324974
1763324974137156124,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,136495990,1763324974
1763324974243141662,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,242291670,1763324974
1763324974343429161,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,342229789,1763324974
1763324974466894356,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,466275854,1763324974
1763324974540204217,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,538622442,1763324974
1763324974642840923,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,642334294,1763324974
1763324974745481404,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,744654740,1763324974
1763324974838750979,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,837488535,1763324974
1763324974943628538,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,940525980,1763324974
1763324975044560972,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,42801051,1763324975
1763324975146566024,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,145623231,1763324975
