timestamp,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,runs_aborted,runs_ok,total_runtime
1763324851958282811,[ 0 42  0 16  0  0 51 43],8,259,Statistics,958087545,1763324851,16,42,13099
1763324852966185277,[ 0 42  0 16  0  0 51 44],8,259,Statistics,965341397,1763324852,16,42,13100
1763324853966508870,[ 0 42  0 16  0  0 51 45],8,259,Statistics,966308548,1763324853,16,42,13101
1763324854968079171,[ 0 42  0 16  0  0 51 46],8,259,Statistics,964758310,1763324854,16,42,13102
1763324855968888674,[ 0 42  0 16  0  0 51 47],8,259,Statistics,968599679,1763324855,16,42,13103
1763324856974401491,[ 0 42  0 16  0  0 51 48],8,259,Statistics,973828654,1763324856,16,42,13104
1763324857982203425,[ 0 42  0 16  0  0 51 49],8,259,Statistics,981640860,1763324857,16,42,13105
1763324858980132802,[ 0 42  0 16  0  0 51 50],8,259,Statistics,979532605,1763324858,16,42,13106
1763324859982475891,[ 0 42  0 16  0  0 51 51],8,259,Statistics,982155696,1763324859,16,42,13107
1763324860987551492,[ 0 42  0 16  0  0 51 52],8,259,Statistics,987285602,1763324860,16,42,13108
1763324861989605572,[ 0 42  0 16  0  0 51 53],8,259,Statistics,989130592,1763324861,16,42,13109
1763324862998884012,[ 0 42  0 16  0  0 51 54],8,259,Statistics,997748002,1763324862,16,42,13110
1763324864002365418,[ 0 42  0 16  0  0 51 55],8,259,Statistics,1902694,1763324864,16,42,13111
1763324865002758454,[ 0 42  0 16  0  0 51 56],8,259,Statistics,2532052,1763324865,16,42,13112
1763324866011655798,[ 0 42  0 16  0  0 51 57],8,259,Statistics,11242354,1763324866,16,42,13113
1763324867010437605,[ 0 42  0 16  0  0 51 58],8,259,Statistics,9372187,1763324867,16,42,13114
1763324868010549673,[ 0 42  0 16  0  0 51 59],8,259,Statistics,10177285,1763324868,16,42,13115
1763324869012009377,[ 0 42  0 16  0  0 51 60],8,259,Statistics,11138745,1763324869,16,42,13116
1763324870023754621,[ 0 42  0 16  0  0 51 61],8,259,Statistics,22671604,1763324870,16,42,13117
1763324871027059608,[ 0 42  0 16  0  0 51 62],8,259,Statistics,26262513,1763324871,16,42,13118
1763324872022678519,[ 0 42  0 16  0  0 51 63],8,259,Statistics,22436180,1763324872,16,42,13119
1763324873028199478,[ 0 42  0 16  0  0 51 64],8,259,Statistics,27426927,1763324873,16,42,13120
1763324874028381647,[ 0 42  0 16  0  0 51 65],8,259,Statistics,27858890,1763324874,16,42,13121
1763324875036647288,[ 0 42  0 16  0  0 51 66],8,259,Statistics,35882129,1763324875,16,42,13122
1763324876037955436,[ 0 42  0 16  0  0 51 67],8,259,Statistics,37684426,1763324876,16,42,13123
1763324877045171453,[ 0 42  0 16  0  0 51 68],8,259,Statistics,44670873,1763324877,16,42,13124
1763324878041275252,[ 0 42  0 16  0  0 51 69],8,259,Statistics,40817360,1763324878,16,42,13125
1763324879053128737,[ 0 42  0 16  0  0 51 70],8,259,Statistics,52571036,1763324879,16,42,13126
1763324880057880502,[ 0 42  0 16  0  0 51 71],8,259,Statistics,55985861,1763324880,16,42,13127
1763324881050192964,[ 0 42  0 16  0  0 51 72],8,259,Statistics,49635903,1763324881,16,42,13128
1763324882063797498,[ 0 42  0 16  0  0 51 73],8,259,Statistics,63303318,1763324882,16,42,13129
1763324883068011653,[ 0 42  0 16  0  0 51 74],8,259,Statistics,67666818,1763324883,16,42,13130
1763324884069258365,[ 0 42  0 16  0  0 51 75],8,259,Statistics,68938586,1763324884,16,42,13131
1763324885072268461,[ 0 42  0 16  0  0 51 76],8,259,Statistics,72047692,1763324885,16,42,13132
1763324886069434354,[ 0 42  0 16  0  0 51 77],8,259,Statistics,68589322,1763324886,16,42,13133
1763324887075282381,[ 0 42  0 16  0  0 51 78],8,259,Statistics,73764127,1763324887,16,42,13134
1763324888081309810,[ 0 42  0 16  0  0 51 79],8,259,Statistics,80571212,1763324888,16,42,13135
1763324889084068003,[ 0 42  0 16  0  0 51 80],8,259,Statistics,83750688,1763324889,16,42,13136
1763324890084139427,[ 0 42  0 16  0  0 51 81],8,259,Statistics,83470589,1763324890,16,42,13137
1763324891090866280,[ 0 42  0 16  0  0 51 82],8,259,Statistics,87443593,1763324891,16,42,13138
1763324892091778657,[ 0 42  0 16  0  0 51 83],8,259,Statistics,91401021,1763324892,16,42,13139
1763324893094770581,[ 0 42  0 16  0  0 51 84],8,259,Statistics,94005838,1763324893,16,42,13140
1763324894101666932,[ 0 42  0 16  0  0 51 85],8,259,Statistics,99853604,1763324894,16,42,13141
1763324895097971708,[ 0 42  0 16  0  0 51 86],8,259,Statistics,96650064,1763324895,16,42,13142
1763324896105728981,[ 0 42  0 16  0  0 51 87],8,259,Statistics,105230512,1763324896,16,42,13143
1763324897102047821,[ 0 42  0 16  0  0 51 88],8,259,Statistics,101705002,1763324897,16,42,13144
1763324898114220543,[ 0 42  0 16  0  0 51 89],8,259,Statistics,112298829,1763324898,16,42,13145
1763324899116617311,[ 0 42  0 16  0  0 51 90],8,259,Statistics,116134299,1763324899,16,42,13146
1763324900115496104,[ 0 42  0 16  0  0 51 91],8,259,Statistics,114818370,1763324900,16,42,13147
1763324901125551167,[ 0 42  0 16  0  0 51 92],8,259,Statistics,124857337,1763324901,16,42,13148
1763324902125437729,[ 0 42  0 16  0  0 51 93],8,259,Statistics,125046078,1763324902,16,42,13149
1763324903131066816,[ 0 42  0 16  0  0 51 94],8,259,Statistics,130098584,1763324903,16,42,13150
1763324904129857033,[ 0 42  0 16  0  0 51 95],8,259,Statistics,129434757,1763324904,16,42,13151
1763324905138989497,[ 0 42  0 16  0  0 51 96],8,259,Statistics,137802286,1763324905,16,42,13152
1763324906141425971,[ 0 42  0 16  0  0 51 97],8,259,Statistics,141080336,1763324906,16,42,13153
1763324907142962926,[ 0 42  0 16  0  0 51 98],8,259,Statistics,142650539,1763324907,16,42,13154
1763324908147894127,[ 0 42  0 16  0  0 51 99],8,259,Statistics,147488396,1763324908,16,42,13155
1763324909143234017,[  0  42   0  16   0   0  51 100],8,259,Statistics,142435578,1763324909,16,42,13156
1763324910149596256,[  0  42   0  16   0   0  51 101],8,259,Statistics,148721080,1763324910,16,42,13157
1763324911154914974,[  0  42   0  16   0   0  51 102],8,259,Statistics,154543323,1763324911,16,42,13158
1763324912155238230,[  0  42   0  16   0   0  51 103],8,259,Statistics,153458821,1763324912,16,42,13159
1763324913164729834,[  0  42   0  16   0   0  51 104],8,259,Statistics,164280166,1763324913,16,42,13160
1763324914159250492,[  0  42   0  16   0   0  51 105],8,259,Statistics,158982458,1763324914,16,42,13161
1763324915165908807,[  0  42   0  16   0   0  51 106],8,259,Statistics,165488931,1763324915,16,42,13162
