timestamp,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1761498940475188543,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,474697321,1761498940,-29
1761498940567152326,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,566831119,1761498940,-29
1761498940720739154,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,720533798,1761498940,-29
1761498940793207729,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,793000965,1761498940,-29
1761498940885759635,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,885487918,1761498940,-29
1761498940967582533,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,967162729,1761498940,-29
1761498941080114182,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,79885425,1761498941,-29
1761498941172265136,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,171963873,1761498941,-29
1761498941285010536,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,284649635,1761498941,-29
1761498941376932030,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,376694150,1761498941,-29
1761498941479386018,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,479103385,1761498941,-29
1761498941571803182,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,571108622,1761498941,-29
1761498941725466525,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,725219874,1761498941,-29
1761498941797538648,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,797355477,1761498941,-29
1761498941889744535,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,889516291,1761498941,-29
1761498941971732573,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,971213309,1761498941,-29
1761498942083881941,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,83670279,1761498942,-29
1761498942176328523,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,176016441,1761498942,-29
1761498942288990514,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,288686402,1761498942,-29
1761498942380750605,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,380534622,1761498942,-29
1761498942483457491,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,482955579,1761498942,-29
1761498942575646219,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,575151798,1761498942,-29
1761498942729097718,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,728919348,1761498942,-29
1761498942801728078,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,801392307,1761498942,-29
1761498942883948033,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,883410492,1761498942,-29
1761498942976028817,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,975683187,1761498942,-29
1761498943088082669,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,87879042,1761498943,-29
1761498943180311636,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,180019882,1761498943,-29
1761498943294706562,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,294374665,1761498943,-29
1761498943376982722,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,376567179,1761498943,-29
1761498943488825454,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,488635305,1761498943,-29
1761498943581228213,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,580982108,1761498943,-10
1761498943734804090,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,734489832,1761498943,-10
1761498943807260260,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,806928587,1761498943,-10
1761498943889025162,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,888851115,1761498943,-10
1761498943981043653,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,980748826,1761498943,-10
1761498944093792098,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,93387408,1761498944,-10
1761498944185712894,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,185375492,1761498944,-10
1761498944299068673,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,298353374,1761498944,-10
1761498944381244215,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,380740641,1761498944,-10
1761498944493223433,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,492951782,1761498944,-10
1761498944585283702,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,585078796,1761498944,-10
1761498944739369027,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,738933254,1761498944,-10
1761498944812208041,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,811924739,1761498944,-10
1761498944894770796,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,894445847,1761498944,-10
1761498944988051955,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,987361338,1761498944,-10
1761498945099996380,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,99827007,1761498945,-10
1761498945182074508,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,181824754,1761498945,-10
1761498945294930126,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,294444607,1761498945,-10
1761498945386586927,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,386324529,1761498945,-10
1761498945498590239,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,498328705,1761498945,-10
1761498945590637005,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,590388819,1761498945,-10
1761498945744217173,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,743967068,1761498945,-10
1761498945816885073,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,816593576,1761498945,-10
1761498945899045407,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,898762393,1761498945,-10
1761498945991113524,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,990762134,1761498945,-10
1761498946104392585,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,103922721,1761498946,-10
1761498946185359435,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,185104368,1761498946,-10
1761498946297654490,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,297466391,1761498946,-10
1761498946390202305,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,389889810,1761498946,-10
1761498946502140657,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,501831299,1761498946,-10
1761498946594247867,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,593782709,1761498946,-10
1761498946748295872,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,747932927,1761498946,-10
1761498946820539641,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,820352598,1761498946,-10
1761498946903130846,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,902721356,1761498946,-10
1761498946995165710,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,994845596,1761498946,-10
1761498947108198448,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,107873308,1761498947,-10
1761498947189976531,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,189683243,1761498947,-10
1761498947303097312,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,302698483,1761498947,-10
1761498947395235614,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,394994920,1761498947,-10
1761498947508281904,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,507703331,1761498947,-10
1761498947600060654,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,599691147,1761498947,-10
1761498947743394131,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,743052026,1761498947,-10
1761498947815989599,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,815639843,1761498947,-10
1761498947908295224,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,907987531,1761498947,-10
1761498948000345910,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,999962958,1761498947,-10
1761498948113320368,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,112969236,1761498948,-10
1761498948195093556,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,194794826,1761498948,-10
1761498948307537323,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,307144353,1761498948,-10
1761498948399196906,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,398927723,1761498948,-10
1761498948511845769,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,511233170,1761498948,-10
1761498948603933919,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,603371641,1761498948,-10
1761498948747195934,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,746688235,1761498948,-10
1761498948819557423,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,819191246,1761498948,-10
1761498948911779571,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,911414771,1761498948,-10
1761498949003616592,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,3289149,1761498949,-10
1761498949116097649,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,115842264,1761498949,-10
1761498949197471949,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,197288621,1761498949,-10
1761498949310520149,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,309947661,1761498949,-10
1761498949402077500,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,401659434,1761498949,-10
1761498949514407529,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,514194942,1761498949,-10
1761498949606789136,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,606519346,1761498949,-10
1761498949751798056,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,751197430,1761498949,-10
1761498949823993880,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,823810648,1761498949,-10
1761498949916688078,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,916308361,1761498949,-10
1761498950008453106,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,8216480,1761498950,-10
1761498950111381849,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,111091572,1761498950,-10
1761498950203926054,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,203671822,1761498950,-10
1761498950316808402,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,316440818,1761498950,-10
1761498950408712608,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,408507225,1761498950,-10
1761498950521229132,[  0   0   0   0 255 246   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,520997852,1761498950,-10
